Name,Team,NOC,Season,Year,City,Sport,Event,Medal
Edgar Lindenau Aabye,Denmark/Sweden,DEN,Summer,1900,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1952,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Ragnhild Margrethe Aamodt,Norway,NOR,Summer,2008,Beijing,Handball,Handball Women's Handball,Gold
Alf Lied Aanning,Norway,NOR,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Willemien Aardenburg,Netherlands,NED,Summer,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,Netherlands,NED,Summer,1996,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Ann Kristin Aarnes,Norway,NOR,Summer,1996,Atlanta,Football,Football Women's Football,Bronze
Karl Jan Aas,Norway,NOR,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Thomas Valentin Aas,Taifun,NOR,Summer,1912,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
Ren Abadie,France,FRA,Summer,1956,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
Giovanni Abagnale,Italy,ITA,Summer,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Luis Abajo Gmez,Spain,ESP,Summer,2008,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
Patimat Abakarova,Azerbaijan,AZE,Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),Russia,RUS,Summer,2008,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Aleksey Aleksandrovich Abalmasov,Belarus,BLR,Summer,2008,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,France,FRA,Summer,2008,Beijing,Handball,Handball Men's Handball,Gold
Luc Abalo,France,FRA,Summer,2012,London,Handball,Handball Men's Handball,Gold
Luc Abalo,France,FRA,Summer,2016,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Jouan Patrice Abanda Etong,Cameroon,CMR,Summer,2000,Sydney,Football,Football Men's Football,Gold
Jos Mara Abarca Plotas,Spain,ESP,Summer,1996,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Stephen Anthony Abas,United States,USA,Summer,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Alejandro Abascal Garca,Spain,ESP,Summer,1980,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Jos Manuel Abascal Gmez,Spain,ESP,Summer,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
Tamila Rashidovna Abasova,Russia,RUS,Summer,2004,Athina,Cycling,Cycling Women's Sprint,Silver
Jol Marc Abati,France,FRA,Summer,2008,Beijing,Handball,Handball Men's Handball,Gold
Pter Abay,Hungary,HUN,Summer,1992,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
Oszkr Abay-Nemes,Hungary,HUN,Summer,1936,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Silvano Abba,Italy,ITA,Summer,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Agostino Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Abbagnale,Italy,ITA,Summer,1996,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
Agostino Abbagnale,Italy,ITA,Summer,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Carmine Abbagnale,Italy,ITA,Summer,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,Italy,ITA,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
Giuseppe Abbagnale,Italy,ITA,Summer,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,Italy,ITA,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
"George ""Ioannis"" Abbot",Thessalonki-1,GRE,Summer,1906,Athina,Football,Football Men's Football,Bronze
"Desmond ""Des"" Abbott",Australia,AUS,Summer,2008,Beijing,Hockey,Hockey Men's Hockey,Bronze
Margaret Ives Abbott (-Dunne),United States,USA,Summer,1900,Paris,Golf,Golf Women's Individual,Gold
Monica Cecilia Abbott,United States,USA,Summer,2008,Beijing,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,United States,USA,Summer,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,Iran,IRI,Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Reema Abdo,Canada,CAN,Summer,1984,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Lala Abdul Rashid,Pakistan,PAK,Summer,1960,Roma,Hockey,Hockey Men's Hockey,Gold
Muhammad Abdul Rashid,Pakistan,PAK,Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,Silver
