Sport,Event,Medal,Athlete,Country,Year,City,Season
ATHLETICS,WOMEN’S MARATHON,Gold,Sifan Hassan,Netherlands,2024,Paris,Summer
BASKETBALL,WOMEN’S,Gold,United States,United States,2024,Paris,Summer
CYCLING TRACK,MEN’S KEIRIN,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer
CYCLING TRACK,WOMEN’S SPRING,Gold,Ellesse Andrews,New Zealand,2024,Paris,Summer
CYCLING TRACK,WOMEN’S OMNIUM,Gold,Jennifer Valente,United States,2024,Paris,Summer
HANDBALL,MEN’S,Gold,Denmark,Denmark,2024,Paris,Summer
MODERN PENTATHLON,WOMEN’S INDIVIDUAL,Gold,Michelle Gulyas,Hungary,2024,Paris,Summer
VOLLEYBALL,WOMEN’S,Gold,Italy,Italy,2024,Paris,Summer
WATER POLO,MEN’S,Gold,Serbia,Serbia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S +81KG,Gold,Li Wenwen,China,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 76KG,Gold,Kagami Yuka,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 65KG,Gold,Kiyooka Kotaro,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 97KG,Gold,Akhmed Tazhudinov,Bahrain,2024,Paris,Summer
ARTISTIC SWIMMING,DUET,Gold,Wang Liuyi and Wang Qianyi,China,2024,Paris,Summer
BASKETBALL,MEN,Gold,United States,United States,2024,Paris,Summer
BEACH VOLLEYBALL,MEN,Gold,David Ahman and Jonatan Hellvig,Sweden,2024,Paris,Summer
BOXING,MEN’S 57KG,Gold,Abdumalik Khalokov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Gold,Lin Yu-ting,Taiwan,2024,Paris,Summer
BOXING,MEN’S +92KG,Gold,Bakhodir Jalolov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Gold,Li Qian,China,2024,Paris,Summer
BREAKING,B-BOYS,Gold,Phil Wizard (Philip Kim),Canada,2024,Paris,Summer
CANOE SPRINT,MEN’S 1000M SINGLE KAYAK,Gold,Josef Dostal,Czech Republic,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 500M SINGLE KAYAK,Gold,Lisa Carrington,New Zealand,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 200M SINGLE KAYAK,Gold,Katie Vincent,Canada,2024,Paris,Summer
CYCLING TRACK,MEN’S MADISON,Gold,Iúri Leitão and Rui Oliveira,Portugal,2024,Paris,Summer
DIVING,MEN’S 10M PLATFORM,Gold,Cao Yuan,China,2024,Paris,Summer
GOLF,WOMEN’S INDIVIDUAL,Gold,Lydia Ko,New Zealand,2024,Paris,Summer
HANDBALL,WOMEN,Gold,Norway,Norway,2024,Paris,Summer
MODERN PENTATHLON,MEN’S,Gold,Ahmed Elgendy,Egypt,2024,Paris,Summer
RHYTHMIC GYMNASTICS,GROUP ALL-AROUND,Gold,China,China,2024,Paris,Summer
SOCCER,WOMEN’S,Gold,United States,United States,2024,Paris,Summer
SPORT CLIMBING,WOMEN’S BOULDER & LEAD,Gold,Janja Garnbret,Slovenia,2024,Paris,Summer
TABLE TENNIS,WOMEN’S TEAM,Gold,China,China,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Gold,Arian Salimi,Iran,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Gold,Althea Laurin,France,2024,Paris,Summer
TRACK AND FIELD,MEN’S MARATHON,Gold,Tamirat Tola,Ethiopia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 800M,Gold,Emmanuel Wanyonyi,Kenya,2024,Paris,Summer
TRACK AND FIELD,MEN’S 5000M,Gold,Jakob Ingebrigtsen,Norway,2024,Paris,Summer
TRACK AND FIELD,MEN’S HIGH JUMP,Gold,Hamish Kerr,New Zealand,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 1500M,Gold,Faith Kipyegon,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S JAVELIN THROW,Gold,Haruka Kitaguchi,Japan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M HURDLES,Gold,Masai Russell,United States,2024,Paris,Summer
VOLLEYBALL,MEN’S TEAM,Gold,France,France,2024,Paris,Summer
WATER POLO,WOMEN’S,Gold,Spain,Spain,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Gold,Liu Huanhua,China,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Gold,Lasha Talakhadze,Georgia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 81KG,Gold,Solfrid Koanda,Norway,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Gold,Razambek Zhamalov,Uzbekistan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Gold,Sakura Motoki,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Gold,Geno Petriashvili,Georgia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M HURDLES,Gold,Rai Benjamin,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S TRIPLE JUMP,Gold,Jordan Diaz,Spain,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X100M RELAY,Gold,Canada,Canada,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Gold,United States,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S SHUT PUT,Gold,Yemisi Ogunleye,Germany,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 10,000M",Gold,Beatrice Chebet,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M,Gold,Marileidy Paulino,Dominican Republic,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Gold,United States,United States,2024,Paris,Summer
BEACH VOLLEYBALL,WOMEN’S,Gold,Brazil,Brazil,2024,Paris,Summer
BOXING,MEN’S 71KG,Gold,Asadkhuja Muydinkhujaev,Uzbekistan,2024,Paris,Summer
BOXING,MEN’S 92 KG,Gold,Lazizbek Mullojonov,Uzbekistan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Gold,Wu Yu,China,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Gold,Imane Khelif,Algeria,2024,Paris,Summer
BREAKING,B-GIRLS,Gold,Ami (Ami Yuasa),Japan,2024,Paris,Summer
CANOE SPRINT,MEN’S KAYAK DOUBLE 500M,Gold,Max Lemke and Jacob Schopf,Germany,2024,Paris,Summer
CANOE SPRINT,MEN’S CANOE SINGLE 1000M,Gold,Martin Fuksa,Czech Republic,2024,Paris,Summer
CANOE SPRINT,WOMEN’S KAYAK DOUBLE 500M,Gold,Lisa Carrington and Alicia Hoskin,New Zealand,2024,Paris,Summer
CANOE SPRINT,WOMEN’S CANOE DOUBLE 500M,Gold,Sun Mengya and Xu Shixiao,China,2024,Paris,Summer
CYCLING TRACK,MEN’S SPRINT,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer
CYCLING TRACK,WOMEN’S MADISON,Gold,Chiara Consonni and Vittoria Guazzini,Italy,2024,Paris,Summer
DIVING,WOMEN’S 3M SPRINGBOARD,Gold,Chen Yiwen,China,2024,Paris,Summer
FIELD HOCKEY,WOMEN’S,Gold,Netherlands,Netherlands,2024,Paris,Summer
MARATHON SWIMMING,MEN’S 10KM,Gold,Kristof Rasovsky,Hungary,2024,Paris,Summer
RHYTHMIC GYMNASTICS,INDIVIDUAL ALL-AROUND,Gold,Darja Varfolomeev,Germany,2024,Paris,Summer
SAILING,MEN’S KITE,Gold,Valentin Bontus,Austria,2024,Paris,Summer
SOCCER,MEN,Gold,Spain,Spain,2024,Paris,Summer
SPORT CLIMBING,MEN’S BOULDER & LEAD,Gold,Toby Roberts,Great Britain,2024,Paris,Summer
TABLE TENNIS,MEN’S TEAM,Gold,China,China,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Gold,Viviana Marton,Hungary,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Gold,Firas Katoussi,Tunisia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 71KG,Gold,Olivia Reeves,United States,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 89KG,Gold,Karlos Nasar,Bulgaria,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 57KG,Gold,Tsugumi Sakurai,Japan,2024,Paris,Summer
