Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,50m freestyle,Gold,Men
Florent Manaudou,France,FRA,Summer,2020,Tokyo,Swimming,50m freestyle,Silver,Men
Bruno Fratus,Brazil,BRA,Summer,2020,Tokyo,Swimming,50m freestyle,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100m freestyle,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2020,Tokyo,Swimming,100m freestyle,Silver,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m freestyle,Bronze,Men
Tom Dean,UK,GBR,Summer,2020,Tokyo,Swimming,200m freestyle,Gold,Men
Duncan Scott,UK,GBR,Summer,2020,Tokyo,Swimming,200m freestyle,Silver,Men
Fernando Scheffer,Brazil,BRA,Summer,2020,Tokyo,Swimming,200m freestyle,Bronze,Men
Ahmed Hafnaoui,Tunisia,TUN,Summer,2020,Tokyo,Swimming,400m freestyle,Gold,Men
Jack McLoughlin,Australia,AUS,Summer,2020,Tokyo,Swimming,400m freestyle,Silver,Men
Kieran Smith,United States,USA,Summer,2020,Tokyo,Swimming,400m freestyle,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,800m freestyle,Gold,Men
Gregorio Paltrinieri,Italy,ITA,Summer,2020,Tokyo,Swimming,800m freestyle,Silver,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,800m freestyle,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,1500m freestyle,Gold,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,1500m freestyle,Silver,Men
Florian Wellbrock,Germany,GER,Summer,2020,Tokyo,Swimming,1500m freestyle,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Gold,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Bronze,Men
UK,UK,GBR,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Gold,Men
Russia,Russia,ROC,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m backstroke,Gold,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m backstroke,Silver,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,100m backstroke,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,200m backstroke,Gold,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,200m backstroke,Silver,Men
Luke Greenbank,UK,GBR,Summer,2020,Tokyo,Swimming,200m backstroke,Bronze,Men
Adam Peaty,UK,GBR,Summer,2020,Tokyo,Swimming,100m breaststroke,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,100m breaststroke,Silver,Men
Nicolò Martinenghi,Italy,ITA,Summer,2020,Tokyo,Swimming,100m breaststroke,Bronze,Men
Zac Stubblety-Cook,Australia,AUS,Summer,2020,Tokyo,Swimming,200m breaststroke,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,200m breaststroke,Silver,Men
Matti Mattsson,Finland,FIN,Summer,2020,Tokyo,Swimming,200m breaststroke,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100m butterfly,Gold,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,100m butterfly,Silver,Men
Noè Ponti,Switzerland,SUI,Summer,2020,Tokyo,Swimming,100m butterfly,Bronze,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,200m butterfly,Gold,Men
Tomoru Honda,Japan,JPN,Summer,2020,Tokyo,Swimming,200m butterfly,Silver,Men
Federico Burdisso,Italy,ITA,Summer,2020,Tokyo,Swimming,200m butterfly,Bronze,Men
Wang Shun,China,CHN,Summer,2020,Tokyo,Swimming,200m individual medley,Gold,Men
Duncan Scott,UK,GBR,Summer,2020,Tokyo,Swimming,200m individual medley,Silver,Men
Jérémy Desplanches,Switzerland,SUI,Summer,2020,Tokyo,Swimming,200m individual medley,Bronze,Men
Chase Kalisz,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Gold,Men
Jay Litherland,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Silver,Men
Brendon Smith,Australia,AUS,Summer,2020,Tokyo,Swimming,400m individual medley,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m medley relay,Gold,Men
UK,UK,GBR,Summer,2020,Tokyo,Swimming,4x100m medley relay,Silver,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4x100m medley relay,Bronze,Men
Emma McKeon,Australia,AUS,Summer,2020,Tokyo,Swimming,50m freestyle,Gold,Women
Sarah Sjöström,Sweden,SWE,Summer,2020,Tokyo,Swimming,50m freestyle,Silver,Women
Pernille Blume,Denmark,DEN,Summer,2020,Tokyo,Swimming,50m freestyle,Bronze,Women
Emma McKeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100m freestyle,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,100m freestyle,Silver,Women
