Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
,LAT,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Men",Gold,Latvia
,ROC,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Men",Silver,Russia
,SRB,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Men",Bronze,Serbia
,USA,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Women",Gold,United States
,ROC,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Women",Silver,Russia
,CHN,2020,Summer,Tokyo,3x3 Basketball,"3x3 Basketball, Women",Bronze,China
Mete Gazoz,TUR,2020,Summer,Tokyo,Archery,"Individual, Men",Gold,Turkey
Mauro Nespoli,ITA,2020,Summer,Tokyo,Archery,"Individual, Men",Silver,Italy
Takaharu Furukawa,JPN,2020,Summer,Tokyo,Archery,"Individual, Men",Bronze,Japan
,KOR,2020,Summer,Tokyo,Archery,"Team, Men",Gold,South Korea
,TPE,2020,Summer,Tokyo,Archery,"Team, Men",Silver,Taiwan
,JPN,2020,Summer,Tokyo,Archery,"Team, Men",Bronze,Japan
An San,KOR,2020,Summer,Tokyo,Archery,"Individual, Women",Gold,South Korea
Yelena Osipova,ROC,2020,Summer,Tokyo,Archery,"Individual, Women",Silver,Russia
Lucilla Boari,ITA,2020,Summer,Tokyo,Archery,"Individual, Women",Bronze,Italy
,KOR,2020,Summer,Tokyo,Archery,"Team, Women",Gold,South Korea
,ROC,2020,Summer,Tokyo,Archery,"Team, Women",Silver,Russia
,GER,2020,Summer,Tokyo,Archery,"Team, Women",Bronze,Germany
,KOR,2020,Summer,Tokyo,Archery,"Team, Mixed",Gold,South Korea
,NED,2020,Summer,Tokyo,Archery,"Team, Mixed",Silver,Netherlands
,MEX,2020,Summer,Tokyo,Archery,"Team, Mixed",Bronze,Mexico
Daiki Hashimoto,JPN,2020,Summer,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Gold,Japan
Xiao Ruoteng,CHN,2020,Summer,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Silver,China
Nikita Nagorny,ROC,2020,Summer,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Bronze,Russia
,ROC,2020,Summer,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Gold,Russia
,JPN,2020,Summer,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Silver,Japan
,CHN,2020,Summer,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Bronze,China
Artem Dolgopyat,ISR,2020,Summer,Tokyo,Artistic Gymnastics,"Floor Exercise, Men",Gold,Israel
Ray Zapata,ESP,2020,Summer,Tokyo,Artistic Gymnastics,"Floor Exercise, Men",Silver,Spain
