Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Latvia,Latvia,LAT,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Men",Gold
Russia,Russia,ROC,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Men",Silver
Serbia,Serbia,SRB,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Men",Bronze
United States,United States,USA,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Women",Gold
Russia,Russia,ROC,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Women",Silver
China,China,CHN,Summer,2020,Tokyo,3X3 Basketball,"3X3 Basketball, Women",Bronze
Mete Gazoz,Turkey,TUR,Summer,2020,Tokyo,Archery,"Individual, Men",Gold
Mauro Nespoli,Italy,ITA,Summer,2020,Tokyo,Archery,"Individual, Men",Silver
Takaharu Furukawa,Japan,JPN,Summer,2020,Tokyo,Archery,"Individual, Men",Bronze
South Korea,South Korea,KOR,Summer,2020,Tokyo,Archery,"Team, Men",Gold
Taiwan,Taiwan,TPE,Summer,2020,Tokyo,Archery,"Team, Men",Silver
Japan,Japan,JPN,Summer,2020,Tokyo,Archery,"Team, Men",Bronze
An San,South Korea,KOR,Summer,2020,Tokyo,Archery,"Individual, Women",Gold
Yelena Osipova,Russia,ROC,Summer,2020,Tokyo,Archery,"Individual, Women",Silver
Lucilla Boari,Italy,ITA,Summer,2020,Tokyo,Archery,"Individual, Women",Bronze
South Korea,South Korea,KOR,Summer,2020,Tokyo,Archery,"Team, Women",Gold
Russia,Russia,ROC,Summer,2020,Tokyo,Archery,"Team, Women",Silver
Germany,Germany,GER,Summer,2020,Tokyo,Archery,"Team, Women",Bronze
South Korea,South Korea,KOR,Summer,2020,Tokyo,Archery,"Team, Mixed",Gold
Netherlands,Netherlands,NED,Summer,2020,Tokyo,Archery,"Team, Mixed",Silver
Mexico,Mexico,MEX,Summer,2020,Tokyo,Archery,"Team, Mixed",Bronze
Daiki Hashimoto,Japan,JPN,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Gold
Xiao Ruoteng,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Silver
Nikita Nagorny,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Men",Bronze
Russia,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Gold
Japan,Japan,JPN,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Silver
China,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Men",Bronze
Artem Dolgopyat,Israel,ISR,Summer,2020,Tokyo,Artistic Gymnastics,"Floor Exercise, Men",Gold
Ray Zapata,Spain,ESP,Summer,2020,Tokyo,Artistic Gymnastics,"Floor Exercise, Men",Silver
Xiao Ruoteng,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Floor Exercise, Men",Bronze
Sin Jae-Hwan,South Korea,KOR,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Men",Gold
Denis Ablyazin,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Men",Silver
Artur Davtyan,Armenia,ARM,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Men",Bronze
Zou Jingyuan,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Parallel Bars, Men",Gold
Lukas Dauser,Germany,GER,Summer,2020,Tokyo,Artistic Gymnastics,"Parallel Bars, Men",Silver
Ferhat Arıcan,Turkey,TUR,Summer,2020,Tokyo,Artistic Gymnastics,"Parallel Bars, Men",Bronze
