Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Athletics,WOMEN’S MARATHON,Gold,Sifan Hassan,Netherlands,2024,Paris,Summer,NED
Basketball,WOMEN’S,Gold,United States,United States,2024,Paris,Summer,USA
Cycling Track,MEN’S KEIRIN,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer,NED
Cycling Track,WOMEN’S SPRING,Gold,Ellesse Andrews,New Zealand,2024,Paris,Summer,NZL
Cycling Track,WOMEN’S OMNIUM,Gold,Jennifer Valente,United States,2024,Paris,Summer,USA
Handball,MEN’S,Gold,Denmark,Denmark,2024,Paris,Summer,DEN
Modern Pentathlon,WOMEN’S INDIVIDUAL,Gold,Michelle Gulyas,Hungary,2024,Paris,Summer,HUN
Volleyball,WOMEN’S,Gold,Italy,Italy,2024,Paris,Summer,ITA
Water Polo,MEN’S,Gold,Serbia,Serbia,2024,Paris,Summer,SCG
Weightlifting,WOMEN’S +81KG,Gold,Li Wenwen,China,2024,Paris,Summer,CHN
Wrestling,WOMEN’S FREESTYLE 76KG,Gold,Kagami Yuka,Japan,2024,Paris,Summer,JPN
Wrestling,MEN’S FREESTYLE 65KG,Gold,Kiyooka Kotaro,Japan,2024,Paris,Summer,JPN
Wrestling,MEN’S FREESTYLE 97KG,Gold,Akhmed Tazhudinov,Bahrain,2024,Paris,Summer,BRN
Artistic Swimming,DUET,Gold,Wang Liuyi and Wang Qianyi,China,2024,Paris,Summer,CHN
Basketball,MEN,Gold,United States,United States,2024,Paris,Summer,USA
Beach Volleyball,MEN,Gold,David Ahman and Jonatan Hellvig,Sweden,2024,Paris,Summer,SWE
Boxing,MEN’S 57KG,Gold,Abdumalik Khalokov,Uzbekistan,2024,Paris,Summer,UZB
Boxing,WOMEN’S 57KG,Gold,Lin Yu-ting,Taiwan,2024,Paris,Summer,TPE
Boxing,MEN’S +92KG,Gold,Bakhodir Jalolov,Uzbekistan,2024,Paris,Summer,UZB
Boxing,WOMEN’S 75KG,Gold,Li Qian,China,2024,Paris,Summer,CHN
Breaking,B-BOYS,Gold,Phil Wizard (Philip Kim),Canada,2024,Paris,Summer,CAN
Canoe Sprint,MEN’S 1000M SINGLE KAYAK,Gold,Josef Dostal,Czech Republic,2024,Paris,Summer,BOH
Canoe Sprint,WOMEN’S 500M SINGLE KAYAK,Gold,Lisa Carrington,New Zealand,2024,Paris,Summer,NZL
Canoe Sprint,WOMEN’S 200M SINGLE KAYAK,Gold,Katie Vincent,Canada,2024,Paris,Summer,CAN
Cycling Track,MEN’S MADISON,Gold,Iúri Leitão and Rui Oliveira,Portugal,2024,Paris,Summer,POR
Diving,MEN’S 10M PLATFORM,Gold,Cao Yuan,China,2024,Paris,Summer,CHN
Golf,WOMEN’S INDIVIDUAL,Gold,Lydia Ko,New Zealand,2024,Paris,Summer,NZL
Handball,WOMEN,Gold,Norway,Norway,2024,Paris,Summer,NOR
Modern Pentathlon,MEN’S,Gold,Ahmed Elgendy,Egypt,2024,Paris,Summer,EGY
Rhythmic Gymnastics,GROUP ALL-AROUND,Gold,China,China,2024,Paris,Summer,CHN
Soccer,WOMEN’S,Gold,United States,United States,2024,Paris,Summer,USA
Sport Climbing,WOMEN’S BOULDER & LEAD,Gold,Janja Garnbret,Slovenia,2024,Paris,Summer,SLO
Table Tennis,WOMEN’S TEAM,Gold,China,China,2024,Paris,Summer,CHN
Taekwondo,MEN’S +80KG,Gold,Arian Salimi,Iran,2024,Paris,Summer,IRI
Taekwondo,WOMEN’S +67KG,Gold,Althea Laurin,France,2024,Paris,Summer,FRA
Track And Field,MEN’S MARATHON,Gold,Tamirat Tola,Ethiopia,2024,Paris,Summer,ETH
Track And Field,MEN’S 800M,Gold,Emmanuel Wanyonyi,Kenya,2024,Paris,Summer,KEN
Track And Field,MEN’S 5000M,Gold,Jakob Ingebrigtsen,Norway,2024,Paris,Summer,NOR
Track And Field,MEN’S HIGH JUMP,Gold,Hamish Kerr,New Zealand,2024,Paris,Summer,NZL
Track And Field,MEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S 4X400M RELAY,Gold,United States,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S 1500M,Gold,Faith Kipyegon,Kenya,2024,Paris,Summer,KEN
Track And Field,WOMEN’S JAVELIN THROW,Gold,Haruka Kitaguchi,Japan,2024,Paris,Summer,JPN
Track And Field,WOMEN’S 100M HURDLES,Gold,Masai Russell,United States,2024,Paris,Summer,USA
Volleyball,MEN’S TEAM,Gold,France,France,2024,Paris,Summer,FRA
Water Polo,WOMEN’S,Gold,Spain,Spain,2024,Paris,Summer,ESP
Weightlifting,MEN’S 102KG,Gold,Liu Huanhua,China,2024,Paris,Summer,CHN
Weightlifting,MEN’S 102KG,Gold,Lasha Talakhadze,Georgia,2024,Paris,Summer,GEO
Weightlifting,WOMEN’S 81KG,Gold,Solfrid Koanda,Norway,2024,Paris,Summer,NOR
Wrestling,MEN’S FREESTYLE 74KG,Gold,Razambek Zhamalov,Uzbekistan,2024,Paris,Summer,UZB
Wrestling,WOMEN’S FREESTYLE 62KG,Gold,Sakura Motoki,Japan,2024,Paris,Summer,JPN
