href,text
https://www.olympedia.org/editions/61/sports/BK3,3x3 Basketball
https://www.olympedia.org/results/18000000,"3x3 Basketball, Men"
https://www.olympedia.org/results/18000039,"3x3 Basketball, Women"
https://www.olympedia.org/editions/61/sports/ARC,Archery
https://www.olympedia.org/results/18000492,"Individual, Men"
https://www.olympedia.org/results/18000566,"Team, Men"
https://www.olympedia.org/results/18000588,"Individual, Women"
https://www.olympedia.org/results/18000662,"Team, Women"
https://www.olympedia.org/results/18000470,"Team, Mixed"
https://www.olympedia.org/editions/61/sports/GAR,Artistic Gymnastics
https://www.olympedia.org/results/19009100,"Individual All-Around, Men"
https://www.olympedia.org/results/19009115,"Team All-Around, Men"
https://www.olympedia.org/results/19009130,"Floor Exercise, Men"
https://www.olympedia.org/results/19009133,"Horse Vault, Men"
https://www.olympedia.org/results/19009140,"Parallel Bars, Men"
https://www.olympedia.org/results/19009143,"Horizontal Bar, Men"
https://www.olympedia.org/results/19009146,"Rings, Men"
https://www.olympedia.org/results/19009149,"Pommelled Horse, Men"
https://www.olympedia.org/results/19009152,"Individual All-Around, Women"
https://www.olympedia.org/results/19009163,"Team All-Around, Women"
https://www.olympedia.org/results/19009174,"Floor Exercise, Women"
https://www.olympedia.org/results/19009177,"Horse Vault, Women"
https://www.olympedia.org/results/19009184,"Uneven Bars, Women"
https://www.olympedia.org/results/19009187,"Balance Beam, Women"
https://www.olympedia.org/editions/61/sports/SWA,Artistic Swimming
https://www.olympedia.org/results/19001980,"Duet, Women"
https://www.olympedia.org/results/19001986,"Team, Women"
https://www.olympedia.org/editions/61/sports/ATH,Athletics
https://www.olympedia.org/results/19000360,"100 metres, Men"
https://www.olympedia.org/results/19000379,"200 metres, Men"
https://www.olympedia.org/results/19000394,"400 metres, Men"
https://www.olympedia.org/results/19000408,"800 metres, Men"
https://www.olympedia.org/results/19000422,"1,500 metres, Men"
https://www.olympedia.org/results/19000431,"5,000 metres, Men"
https://www.olympedia.org/results/19000436,"10,000 metres, Men"
https://www.olympedia.org/results/19000437,"Marathon, Men"
https://www.olympedia.org/results/19000438,"110 metres Hurdles, Men"
https://www.olympedia.org/results/19000451,"400 metres Hurdles, Men"
https://www.olympedia.org/results/19000464,"3,000 metres Steeplechase, Men"
